[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=40044
date=02/03/17
time=20:52:58.42
pressureoffset=0.77
usepressureoffset=yes
slot1sensor1=sv-c.xchange sv.x sn 203281 04/24/13
slot3sensor1=sv-c.xchange sv.x sn 000000 00/00/00
slot5sensor1=p-t-tu-do.xchange p.x sn 300256 04/16/13 t.x sn 403020 04/12/13

average sound velocity=1499.92
 
comments= 
 
[data]
Date (mm/dd/yy),Time,SV (m/s),SV-C.Xchange (No Sensor),Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3)
02/03/17,20:52:59.90,1536.248,0000.000,-0000.11,25.362,012.75,35.899,1023.911
02/03/17,20:53:00.95,1536.251,0000.000,0000.46,25.361,012.75,35.895,1023.911
02/03/17,20:53:02.73,1536.256,0000.000,-0000.11,25.367,012.75,35.895,1023.907
02/03/17,20:53:05.17,1536.243,0000.000,0000.57,25.363,012.75,35.881,1023.900
02/03/17,20:53:08.03,1536.262,0000.000,0000.00,25.363,012.75,35.909,1023.919
02/03/17,20:53:11.41,1536.248,0000.000,0000.68,25.360,012.75,35.890,1023.908
02/03/17,20:53:12.92,1536.274,0000.000,0000.11,25.364,012.75,35.915,1023.924
02/03/17,20:53:17.89,1536.251,0000.000,0000.68,25.360,012.75,35.894,1023.912
02/03/17,20:53:20.33,1536.245,0000.000,0000.00,25.367,012.75,35.883,1023.898
02/03/17,20:53:21.87,1536.243,0000.000,0000.57,25.360,012.73,35.889,1023.907
02/03/17,20:53:26.45,1536.254,0000.000,0001.14,25.360,012.75,35.890,1023.910
02/03/17,20:53:26.84,1536.266,0000.000,0001.71,25.360,012.75,35.893,1023.915
02/03/17,20:53:30.53,1536.275,0000.000,0002.28,25.360,012.75,35.892,1023.917
02/03/17,20:53:35.16,1536.279,0000.000,0001.71,25.364,012.75,35.895,1023.915
02/03/17,20:53:37.23,1536.271,0000.000,0002.28,25.360,012.75,35.889,1023.914
02/03/17,20:53:41.02,1536.265,0000.000,0001.71,25.364,012.73,35.882,1023.905
02/03/17,20:53:42.62,1536.263,0000.000,0002.28,25.359,012.73,35.883,1023.911
02/03/17,20:53:46.09,1536.270,0000.000,0001.71,25.360,012.75,35.896,1023.918
02/03/17,20:53:47.88,1536.270,0000.000,0002.28,25.360,012.73,35.888,1023.914
02/03/17,20:53:48.76,1536.281,0000.000,0002.85,25.360,012.75,35.890,1023.918
02/03/17,20:53:52.22,1536.291,0000.000,0003.54,25.357,012.73,35.893,1023.924
02/03/17,20:53:53.07,1536.285,0000.000,0004.22,25.350,012.73,35.892,1023.928
02/03/17,20:53:53.83,1536.333,0000.000,0004.79,25.364,012.73,35.897,1023.930
02/03/17,20:53:55.31,1536.299,0000.000,0005.37,25.352,012.75,35.884,1023.926
02/03/17,20:53:57.43,1536.313,0000.000,0005.94,25.350,012.73,35.891,1023.935
02/03/17,20:53:58.28,1536.320,0000.000,0006.51,25.351,012.73,35.885,1023.933
02/03/17,20:53:59.01,1536.355,0000.000,0007.08,25.356,012.73,35.900,1023.945
02/03/17,20:53:59.65,1536.357,0000.000,0007.65,25.357,012.75,35.891,1023.940
02/03/17,20:54:00.47,1536.262,0000.000,0008.22,25.328,012.75,35.857,1023.926
02/03/17,20:54:01.40,1536.254,0000.000,0008.79,25.307,012.73,35.886,1023.957
02/03/17,20:54:02.58,1536.240,0000.000,0009.36,25.301,012.73,35.880,1023.957
02/03/17,20:54:03.43,1536.146,0000.000,0009.93,25.255,012.73,35.884,1023.976
02/03/17,20:54:04.24,1536.153,0000.000,0010.62,25.248,012.73,35.896,1023.991
02/03/17,20:54:04.87,1536.155,0000.000,0011.19,25.249,012.75,35.888,1023.986
02/03/17,20:54:05.68,1536.161,0000.000,0011.76,25.249,012.75,35.886,1023.987
02/03/17,20:54:06.35,1536.133,0000.000,0012.33,25.234,012.73,35.883,1023.992
02/03/17,20:54:06.62,1536.011,0000.000,0012.90,25.222,012.73,35.785,1023.924
02/03/17,20:54:07.56,1535.989,0000.000,0013.47,25.173,012.73,35.865,1024.002
02/03/17,20:54:08.37,1535.985,0000.000,0014.16,25.165,012.73,35.868,1024.010
02/03/17,20:54:08.92,1535.983,0000.000,0014.73,25.162,012.73,35.865,1024.011
02/03/17,20:54:09.34,1535.979,0000.000,0015.30,25.159,012.73,35.859,1024.010
02/03/17,20:54:09.90,1535.992,0000.000,0015.87,25.155,012.70,35.872,1024.023
02/03/17,20:54:10.56,1536.004,0000.000,0016.67,25.155,012.73,35.870,1024.025
02/03/17,20:54:11.03,1536.004,0000.000,0017.24,25.156,012.70,35.859,1024.019
02/03/17,20:54:11.46,1536.014,0000.000,0017.81,25.154,012.70,35.862,1024.025
02/03/17,20:54:12.01,1536.023,0000.000,0018.49,25.152,012.73,35.865,1024.030
02/03/17,20:54:12.41,1536.032,0000.000,0019.07,25.152,012.73,35.865,1024.032
02/03/17,20:54:12.76,1536.048,0000.000,0019.64,25.151,012.70,35.874,1024.042
02/03/17,20:54:13.35,1536.054,0000.000,0020.32,25.150,012.73,35.872,1024.044
02/03/17,20:54:13.65,1536.069,0000.000,0020.89,25.148,012.73,35.880,1024.053
02/03/17,20:54:14.00,1536.076,0000.000,0021.46,25.149,012.73,35.877,1024.053
02/03/17,20:54:14.68,1536.092,0000.000,0022.03,25.149,012.70,35.882,1024.059
02/03/17,20:54:15.02,1536.103,0000.000,0022.60,25.148,012.70,35.886,1024.065
02/03/17,20:54:15.45,1536.112,0000.000,0023.18,25.148,012.70,35.885,1024.067
02/03/17,20:54:15.75,1536.130,0000.000,0023.75,25.148,012.73,35.892,1024.074
02/03/17,20:54:16.02,1536.135,0000.000,0024.32,25.150,012.73,35.884,1024.070
02/03/17,20:54:16.37,1536.135,0000.000,0024.89,25.149,012.70,35.879,1024.069
02/03/17,20:54:16.62,1536.154,0000.000,0025.46,25.148,012.70,35.889,1024.080
02/03/17,20:54:16.97,1536.163,0000.000,0026.03,25.150,012.70,35.885,1024.079
02/03/17,20:54:17.18,1536.166,0000.000,0026.71,25.149,012.73,35.879,1024.077
