"CALC,DB98139,09/21/11,1,Meters"
OHSI SOUND VELOCITY PROFILER S/N:DB98139
DATE:11264 TIME:1945
DEPTH OFFSET (M):0
DEPTH (M) VELOCITY (M/S) TEMP (C)
0.7 1145.6 20.0
1.0 1266.6 20.0
1.5 1497.6 20.0
2.0 1506.2 20.0
2.5 1505.7 20.0
3.0 1504.7 20.0
3.5 1503.7 21.0
4.0 1502.7 20.0
4.5 1502.3 20.0
5.0 1502.1 20.0
5.5 1501.9 21.0
6.0 1500.1 21.0
6.5 1499.5 20.0
7.0 1123.3 20.0
6.5 1500.2 20.0
6.0 1502.0 20.0
5.5 1502.2 20.0
5.0 1502.5 20.0
4.5 1503.2 20.0
3.9 1504.5 20.0
3.5 1505.8 20.0
3.0 1506.5 20.0
2.4 1507.0 20.0
2.0 1507.0 20.0
1.5 1507.0 20.0
1.0 1123.3 20.0
