Cruise name: Campagna_2013
cruise vessel: Nave Magnaghi
cast number: 1
cast start time: 14/06/2013 18:52:11
cast start latitude: 36°15'29.155
cast start longitude: 12°56'35.191
cast probe type: Idronaut
cast probe SN: 316-0902233
cast vessel depth: 270
Depth	Pressure	Temperature	Conductivity	Salinity	Sound Velocity (calc)
1.00	1.007	20.4901	51.6522	37.6450	1525.777
2.00	2.015	20.2889	51.4344	37.6450	1525.238
3.00	3.022	20.2467	51.3988	37.6531	1525.141
4.00	4.030	20.1966	51.3527	37.6598	1525.020
5.00	5.037	20.2080	51.3677	37.6618	1525.062
6.00	6.044	20.2210	51.3831	37.6627	1525.107
7.00	7.052	20.2288	51.3928	37.6635	1525.137
8.00	8.059	20.2328	51.3976	37.6638	1525.157
9.00	9.067	20.2305	51.3959	37.6642	1525.160
10.00	10.074	20.2211	51.3822	37.6611	1525.139
11.00	11.082	20.1635	51.3237	37.6640	1525.002
12.00	12.089	20.1447	51.3072	37.6668	1524.970
13.00	13.096	20.1175	51.2786	37.6671	1524.913
14.00	14.104	20.1013	51.2606	37.6663	1524.884
15.00	15.111	20.0637	51.2207	37.6666	1524.798
16.00	16.119	20.0227	51.1775	37.6671	1524.703
17.00	17.126	19.9825	51.1348	37.6675	1524.610
18.00	18.134	19.9434	51.0939	37.6683	1524.521
19.00	19.141	19.9089	51.0575	37.6688	1524.444
20.00	20.149	19.8812	51.0328	37.6727	1524.389
21.00	21.156	19.8723	51.0241	37.6730	1524.381
22.00	22.164	19.8624	51.0146	37.6737	1524.372
23.00	23.171	19.8518	51.0050	37.6749	1524.361
24.00	24.179	19.8413	50.9955	37.6760	1524.350
25.00	25.186	19.8307	50.9856	37.6769	1524.338
26.00	26.194	19.8180	50.9729	37.6775	1524.321
27.00	27.201	19.7981	50.9516	37.6772	1524.282
28.00	28.209	19.7631	50.9074	37.6714	1524.196
29.00	29.216	19.6961	50.8289	37.6659	1524.020
30.00	30.224	19.6160	50.7423	37.6653	1523.813
31.00	31.231	19.5299	50.6449	37.6611	1523.585
32.00	32.239	19.4158	50.5110	37.6514	1523.271
33.00	33.246	19.2847	50.3624	37.6447	1522.912
34.00	34.254	19.1439	50.2040	37.6384	1522.525
35.00	35.261	19.0019	50.0452	37.6329	1522.136
36.00	36.269	18.8597	49.8858	37.6270	1521.745
37.00	37.277	18.7160	49.7185	37.6157	1521.344
38.00	38.284	18.5666	49.5563	37.6136	1520.934
39.00	39.292	18.4381	49.4165	37.6115	1520.582
40.00	40.299	18.3213	49.2836	37.6044	1520.256
41.00	41.307	18.2071	49.1553	37.5988	1519.939
42.00	42.314	18.1126	49.0535	37.5977	1519.683
43.00	43.322	18.0251	48.9584	37.5958	1519.444
44.00	44.330	17.9371	48.8603	37.5918	1519.201
45.00	45.337	17.8409	48.7566	37.5904	1518.937
46.00	46.345	17.7406	48.6499	37.5903	1518.661
47.00	47.352	17.6404	48.5494	37.5953	1518.391
48.00	48.360	17.5464	48.4530	37.5981	1518.136
49.00	49.368	17.4496	48.3529	37.6001	1517.871
50.00	50.375	17.3303	48.2261	37.5997	1517.535
51.00	51.383	17.2031	48.0971	37.6046	1517.181
52.00	52.391	17.0769	47.9686	37.6090	1516.828
53.00	53.398	16.9515	47.8382	37.6108	1516.474
54.00	54.406	16.8223	47.7056	37.6142	1516.108
55.00	55.414	16.6894	47.5684	37.6170	1515.730
56.00	56.421	16.5587	47.4330	37.6191	1515.357
57.00	57.429	16.4331	47.3046	37.6228	1515.001
58.00	58.437	16.3135	47.1825	37.6263	1514.661
