*PS118_3-1
*Lat -63.420
*Lon -56.615
*Cast 3 21 Feb 2019 22:14:27 4800 4.14 normal end
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200240
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=22-Jun-18
*Coefficients:
*A0=8.159933e-04
*A1=2.842136e-04
*A2=-2.477711e-06
*A3=2.057825e-07
*Conductivity:
*CalDate=22-Jun-18
*Coefficients:
*G=-9.785558e-01
*H=1.515467e-01
*I=-3.345472e-04
*J=5.199529e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=21-Jun-18
*SerialNumber=4632589
*Coefficients:
*A0=7.164904e-01
*A1=8.943803e-03
*A2=4.003241e-11
*PTEMP A0=-9.068422e+01
*PTEMP A1=3.690209e-02
*PTEMP A2=1.012678e-06
*TC A0=5.255498e+05
*TC A1=-6.376865e+00
*TC A2=4.055661e-01
*TC B0=1.031837e+02
*TC B1=-3.724696e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
1  2.79479 -0.764    1.187
2  2.79479 -0.759    1.437
3  2.79500 -0.756    1.625
4  2.79500 -0.755    1.781
5  2.79500 -0.754    1.937
6  2.79521 -0.753    2.062
7  2.79521 -0.753    2.219
8  2.79521 -0.753    2.375
9  2.79521 -0.753    2.531
10  2.79521 -0.752    2.719
11  2.79521 -0.753    2.937
12  2.79542 -0.752    3.156
13  2.79542 -0.750    3.312
14  2.79563 -0.749    3.500
15  2.79563 -0.749    3.625
16  2.79563 -0.749    3.844
17  2.79563 -0.749    3.969
18  2.79563 -0.750    4.219
19  2.79563 -0.749    4.406
20  2.79563 -0.748    4.656
21  2.79583 -0.749    4.875
22  2.79604 -0.750    5.094
23  2.79583 -0.750    5.375
24  2.79604 -0.749    5.625
25  2.79604 -0.749    5.781
26  2.79604 -0.749    5.938
27  2.79583 -0.749    6.156
28  2.79604 -0.748    6.375
29  2.79625 -0.749    6.531
30  2.79604 -0.749    6.750
31  2.79625 -0.749    7.094
32  2.79604 -0.749    7.281
33  2.79625 -0.749    7.469
34  2.79604 -0.748    7.656
35  2.79625 -0.748    7.844
36  2.79625 -0.749    8.062
37  2.79625 -0.750    8.312
38  2.79625 -0.750    8.531
39  2.79625 -0.750    8.781
40  2.79625 -0.750    9.000
41  2.79625 -0.749    9.187
42  2.79625 -0.749    9.375
43  2.79646 -0.749    9.687
44  2.79646 -0.749   10.000
45  2.79646 -0.748   10.125
46  2.79646 -0.748   10.312
47  2.79646 -0.748   10.625
48  2.79646 -0.748   10.906
49  2.79646 -0.748   11.125
50  2.79667 -0.748   11.312
51  2.79667 -0.748   11.594
52  2.79646 -0.749   11.844
53  2.79667 -0.748   12.031
54  2.79667 -0.748   12.281
55  2.79667 -0.748   12.562
56  2.79667 -0.748   12.812
57  2.79667 -0.748   13.031
58  2.79667 -0.748   13.281
59  2.79667 -0.748   13.594
60  2.79667 -0.748   13.812
61  2.79667 -0.748   14.031
62  2.79667 -0.748   14.344
63  2.79667 -0.748   14.594
64  2.79688 -0.748   14.781
65  2.79688 -0.747   15.094
66  2.79688 -0.747   15.375
67  2.79688 -0.747   15.531
68  2.79688 -0.746   15.812
69  2.79688 -0.747   16.125
70  2.79688 -0.747   16.344
71  2.79708 -0.747   16.562
72  2.79708 -0.747   16.875
73  2.79688 -0.748   17.156
74  2.79708 -0.747   17.344
75  2.79708 -0.747   17.594
76  2.79708 -0.747   17.906
77  2.79708 -0.747   18.156
78  2.79708 -0.747   18.344
79  2.79708 -0.747   18.594
80  2.79708 -0.748   18.937
81  2.79708 -0.747   19.156
82  2.79708 -0.747   19.375
83  2.79708 -0.747   19.687
84  2.79708 -0.748   19.969
85  2.79708 -0.747   20.156
86  2.79708 -0.747   20.406
87  2.79708 -0.747   20.719
88  2.79708 -0.748   21.000
89  2.79729 -0.747   21.187
90  2.79729 -0.747   21.437
91  2.79729 -0.748   21.781
92  2.79729 -0.748   22.031
93  2.79729 -0.747   22.187
94  2.79729 -0.748   22.500
95  2.79729 -0.748   22.812
96  2.79729 -0.747   23.000
97  2.79729 -0.747   23.250
98  2.79729 -0.747   23.531
99  2.79729 -0.747   23.844
100  2.79729 -0.747   24.062
101  2.79729 -0.747   24.250
102  2.79750 -0.747   24.531
103  2.79750 -0.748   24.906
104  2.79750 -0.748   25.094
105  2.79750 -0.747   25.281
106  2.79750 -0.747   25.531
107  2.79750 -0.747   25.906
108  2.79750 -0.747   26.187
109  2.79750 -0.747   26.344
110  2.79750 -0.746   26.562
111  2.79771 -0.747   26.906
112  2.79771 -0.747   27.250
113  2.79771 -0.747   27.469
114  2.79771 -0.747   27.687
115  2.79750 -0.747   27.906
116  2.79771 -0.747   28.250
117  2.79771 -0.747   28.594
118  2.79771 -0.747   28.844
119  2.79771 -0.746   29.031
120  2.79771 -0.746   29.250
121  2.79750 -0.746   29.562
122  2.79750 -0.746   29.937
123  2.79750 -0.747   30.156
124  2.79771 -0.746   30.375
125  2.79771 -0.746   30.625
126  2.79771 -0.746   30.875
127  2.79771 -0.746   31.250
128  2.79771 -0.746   31.562
129  2.79771 -0.746   31.781
130  2.79771 -0.746   32.000
131  2.79771 -0.746   32.281
132  2.79771 -0.746   32.531
133  2.79771 -0.746   32.875
134  2.79771 -0.746   33.187
135  2.79792 -0.746   33.406
136  2.79792 -0.746   33.656
137  2.79771 -0.746   33.906
138  2.79771 -0.746   34.156
139  2.79771 -0.746   34.531
140  2.79771 -0.746   34.812
141  2.79792 -0.747   35.031
142  2.79771 -0.746   35.281
143  2.79771 -0.746   35.531
144  2.79792 -0.746   35.781
145  2.79792 -0.746   36.125
146  2.79792 -0.747   36.469
147  2.79792 -0.747   36.719
148  2.79792 -0.746   36.969
149  2.79792 -0.746   37.219
150  2.79813 -0.746   37.469
151  2.79813 -0.746   37.719
152  2.79792 -0.746   38.031
153  2.79792 -0.746   38.406
154  2.79792 -0.746   38.656
155  2.79813 -0.746   38.906
156  2.79792 -0.746   39.125
157  2.79813 -0.745   39.406
158  2.79813 -0.745   39.687
159  2.79813 -0.745   39.937
160  2.79813 -0.745   40.250
161  2.79833 -0.745   40.594
162  2.79833 -0.746   40.906
163  2.79813 -0.746   41.156
164  2.79813 -0.745   41.375
165  2.79813 -0.745   41.625
166  2.79813 -0.745   41.906
167  2.79833 -0.745   42.187
168  2.79833 -0.745   42.437
169  2.79833 -0.746   42.719
170  2.79833 -0.746   43.125
171  2.79833 -0.746   43.406
172  2.79833 -0.746   43.687
173  2.79833 -0.746   43.906
174  2.79833 -0.746   44.187
175  2.79854 -0.745   44.437
176  2.79854 -0.745   44.656
177  2.79854 -0.745   44.937
178  2.79854 -0.745   45.187
179  2.79854 -0.745   45.500
180  2.79854 -0.745   45.812
181  2.79854 -0.745   46.094
182  2.79854 -0.745   46.437
183  2.79854 -0.745   46.719
184  2.79854 -0.746   47.000
185  2.79854 -0.746   47.281
186  2.79854 -0.746   47.531
187  2.79854 -0.745   47.781
188  2.79854 -0.745   48.000
189  2.79854 -0.745   48.281
190  2.79854 -0.745   48.531
191  2.79854 -0.745   48.781
192  2.79854 -0.745   49.062
193  2.79875 -0.745   49.312
194  2.79875 -0.745   49.625
195  2.79875 -0.745   49.906
196  2.79875 -0.745   50.156
197  2.79875 -0.745   50.469
198  2.79875 -0.745   50.812
199  2.79875 -0.745   51.125
200  2.79875 -0.745   51.375
201  2.79875 -0.745   51.687
202  2.79875 -0.745   51.937
203  2.79875 -0.745   52.219
204  2.79875 -0.745   52.437
205  2.79896 -0.745   52.687
206  2.79875 -0.745   52.969
207  2.79896 -0.745   53.250
208  2.79875 -0.745   53.500
