*
*Lat 31/24/37
*Lon 080/50/55
*Cast 1 22 Apr 2014 13:33:08 2264 4.13 received stop
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200187
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=16-Jan-14
*Coefficients:
*A0=8.767728e-04
*A1=2.785097e-04
*A2=-2.099580e-06
*A3=1.930474e-07
*Conductivity:
*CalDate=16-Jan-14
*Coefficients:
*G=-9.887334e-01
*H=1.402299e-01
*I=-2.264862e-04
*J=3.930030e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=13-Jan-14
*SerialNumber=2143155
*Coefficients:
*A0=-2.172705e-01
*A1=8.779983e-03
*A2=6.893222e-11
*PTEMP A0=-9.035770e+01
*PTEMP A1=3.757729e-02
*PTEMP A2=8.382934e-07
*TC A0=5.257248e+05
*TC A1=-1.266389e+01
*TC A2=5.543477e-01
*TC B0=1.050162e+02
*TC B1=-2.284512e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
1  0.00000 20.948    0.031
2  0.00000 20.952    0.031
3  0.00000 20.958    0.031
4  0.00000 20.962    0.031
5  0.00000 20.965    0.031
6  0.00000 20.969    0.063
7  0.00000 20.973    0.031
8  0.00000 20.976    0.031
9  0.00000 20.979    0.031
10  0.00000 20.983    0.063
11  0.00000 20.985    0.063
12  0.00000 20.982    0.063
13  0.00000 20.983    0.031
14  0.00000 20.983    0.063
15  0.00000 20.982    0.063
16  0.00000 20.978    0.031
17  0.00000 20.974    0.031
18  0.00000 20.973    0.063
19  0.00000 20.972    0.063
20  0.00000 20.976    0.063
21  0.00000 20.980    0.063
22  0.00000 20.986    0.063
23  0.00000 20.994    0.063
24  0.00000 21.003    0.063
25  0.00000 21.007    0.063
26  0.00000 21.009    0.031
27  0.00000 21.009    0.063
28  0.00000 21.009    0.063
29  0.00000 21.012    0.031
30  0.00000 21.019    0.063
31  0.00000 21.028    0.063
32  0.00000 21.035    0.063
33  0.00000 21.040    0.063
34  0.00000 21.044    0.063
35  0.00000 21.048    0.063
36  0.00000 21.051    0.031
37  0.00000 21.058    0.031
38  0.00000 21.066    0.063
39  0.00000 21.072    0.063
40  0.00000 21.073    0.063
41  0.00000 21.069    0.031
42  0.00000 21.066    0.031
43  0.00000 21.061    0.063
44  0.00000 21.048    0.063
45  0.00000 21.032    0.063
46  0.00000 21.015    0.031
47  0.00000 21.000    0.063
48  0.00000 20.993    0.063
49  0.00000 20.989    0.063
50  0.00000 20.981    0.063
51  0.00000 20.971    0.063
52  0.00000 20.964    0.063
53  0.00000 20.960    0.063
54  0.00000 20.958    0.063
55  0.00000 20.960    0.063
56  0.00000 20.966    0.031
57  0.00000 20.972    0.063
58  0.00000 20.978    0.063
59  0.00000 20.983    0.031
60  0.00000 20.987    0.063
61  0.00000 20.990    0.063
62  0.00000 20.993    0.063
63  0.00000 20.995    0.063
64  0.00000 20.997    0.063
65  0.00000 20.998    0.031
66  0.00000 20.997    0.031
67  0.00000 21.001    0.063
68  0.00000 21.006    0.031
69  0.00000 21.006    0.031
70  0.00000 20.999    0.063
71  0.00000 20.995    0.063
72  0.00000 20.992    0.031
73  0.00000 20.992    0.063
74  0.00000 20.998    0.031
75  0.00000 21.004    0.031
76  0.00000 21.009    0.063
77  0.00000 21.012    0.063
78  0.00000 21.015    0.063
79  0.00000 21.020    0.031
80  0.00000 21.021    0.063
81  0.00000 21.025    0.031
82  0.00000 21.032    0.031
83  0.00000 21.036    0.031
84  0.00000 21.041    0.063
85  0.00000 21.045    0.031
86  0.00000 21.049    0.031
87  0.00000 21.053    0.031
88  0.00000 21.057    0.031
89  0.00000 21.061    0.063
90  0.00000 21.061    0.063
91  0.00000 21.066    0.031
92  0.00000 21.072    0.063
93  0.00000 21.075    0.031
94  0.00000 21.079    0.031
95  0.00000 21.082    0.031
96  0.00000 21.086    0.031
97  0.00000 21.089    0.031
98  0.00000 21.094    0.031
99  0.00000 21.099    0.031
100  0.00000 21.104    0.063
101  0.00000 21.110    0.063
102  0.00000 21.117    0.031
103  0.00000 21.122    0.031
104  0.00000 21.125    0.031
105  0.00000 21.123    0.031
106  0.00000 21.115    0.031
107  0.00000 21.113    0.063
108  0.00000 21.117    0.063
109  0.00000 21.121    0.031
110  0.00000 21.123    0.063
111  0.00000 21.124    0.063
112  0.00000 21.128    0.063
113  0.00000 21.135    0.063
114  0.00000 21.140    0.031
115  0.00000 21.144    0.063
116  0.00000 21.148    0.031
117  0.00000 21.154    0.063
118  0.00000 21.158    0.031
119  0.00000 21.161    0.031
120  0.00000 21.161    0.031
121  0.00000 21.160    0.031
122  0.00000 21.161    0.063
123  0.00000 21.163    0.031
124  0.00000 21.165    0.031
125  0.00000 21.166    0.063
126  0.00000 21.168    0.031
127  0.00000 21.171    0.031
128  0.00000 21.174    0.063
129  0.00000 21.173    0.063
130  0.00000 21.170    0.031
131  0.00000 21.161    0.063
132  0.00000 21.154    0.063
133  0.00000 21.148    0.031
134  0.00000 21.143    0.063
135  0.00000 21.142    0.063
136  0.00000 21.142    0.063
137  0.00000 21.147    0.063
138  0.00000 21.153    0.063
139  0.00000 21.160    0.063
140  0.00000 21.169    0.063
141  0.00000 21.176    0.063
142  0.00000 21.183    0.063
143  0.00000 21.188    0.063
144  0.00000 21.190    0.094
145  0.00000 21.190    0.063
146  0.00000 21.188    0.063
147  0.00000 21.186    0.063
148  0.00000 21.190    0.063
149  0.00000 21.192    0.031
150  0.00000 21.190    0.031
151  0.00000 21.195    0.063
152  0.00000 21.203    0.063
153  0.00000 21.210    0.063
154  0.00000 21.216    0.031
155  0.00000 21.221    0.063
156  0.00000 21.224    0.063
157  0.00000 21.225    0.063
158  0.00000 21.225    0.063
159  0.00000 21.225    0.063
160  0.00000 21.225    0.063
161  0.00000 21.228    0.063
162  0.00000 21.232    0.063
163  0.00000 21.236    0.063
164  0.00000 21.239    0.063
165  0.00000 21.241    0.031
166  0.00000 21.242    0.063
167  0.00000 21.241    0.063
168  0.00000 21.241    0.094
169  0.00000 21.246    0.063
170  0.00000 21.253    0.063
171  0.00000 21.258    0.063
172  0.00000 21.262    0.063
173  0.00000 21.265    0.063
174  0.00000 21.266    0.063
175  0.00000 21.268    0.063
176  0.00000 21.270    0.063
177  0.00000 21.271    0.063
178  0.00000 21.271    0.063
179  0.00000 21.271    0.031
180  0.00000 21.272    0.063
181  0.00000 21.274    0.063
182  0.00000 21.278    0.031
183  0.00000 21.281    0.063
184  0.00000 21.280    0.063
185  0.00000 21.280    0.063
186  0.00000 21.281    0.063
187  0.00000 21.283    0.031
188  0.00000 21.283    0.031
189  0.00000 21.285    0.063
190  0.00000 21.288    0.031
191  0.00000 21.291    0.031
192  0.00000 21.292    0.063
193  0.00000 21.292    0.063
194  0.00000 21.293    0.031
195  0.00000 21.293    0.031
196  0.00000 21.293    0.063
197  0.00000 21.291    0.063
198  0.00000 21.288    0.063
199  0.00000 21.284    0.063
200  0.00000 21.283    0.063
201  0.00000 21.284    0.063
202  0.00000 21.286    0.063
203  0.00000 21.288    0.063
204  0.00000 21.289    0.063
205  0.00000 21.288    0.063
206  0.00000 21.287    0.063
207  0.00000 21.287    0.063
208  0.00000 21.288    0.063
209  0.00000 21.289    0.063
210  0.00000 21.291    0.063
211  0.00000 21.295    0.063
212  0.00000 21.300    0.031
213  0.00000 21.302    0.031
214  0.00000 21.305    0.063
215  0.00000 21.309    0.063
216  0.00000 21.315    0.094
217  0.00000 21.321    0.063
218  0.00000 21.326    0.063
219  0.00000 21.331    0.063
220  0.00000 21.336    0.063
221  0.00000 21.339    0.063
222  0.00000 21.342    0.063
223  0.00000 21.345    0.063
224  0.00000 21.348    0.063
225  0.00000 21.350    0.063
226  0.00000 21.351    0.063
227  0.00000 21.352    0.063
228  0.00000 21.355    0.063
229  0.00000 21.357    0.063
230  0.00000 21.357    0.031
231  0.00000 21.356    0.031
232  0.00000 21.355    0.063
233  0.00000 21.357    0.063
234  0.00000 21.362    0.063
235  0.00000 21.365    0.063
236  0.00000 21.368    0.063
237  0.00000 21.370    0.063
238  0.00000 21.373    0.063
239  0.00000 21.377    0.063
240  0.00000 21.379    0.063
241  0.00000 21.382    0.063
242  0.00000 21.385    0.063
243  0.00000 21.387    0.063
244  0.00000 21.387    0.063
245  0.00000 21.386    0.063
246  0.00000 21.372    0.063
247  0.00000 21.349    0.063
248  0.00000 21.321    0.063
249  0.00000 21.293    0.063
250  0.00000 21.274    0.094
251  0.00000 21.266    0.063
252  0.00000 21.266    0.063
253  0.00000 21.268    0.063
254  0.00000 21.269    0.031
255  0.00000 21.270    0.063
256  0.00000 21.270    0.063
257  0.00000 21.269    0.063
258  0.00000 21.268    0.063
259  0.00000 21.270    0.063
260  0.00000 21.274    0.063
261  0.00000 21.279    0.063
262  0.00000 21.283    0.063
263  0.00000 21.285    0.063
264  0.00000 21.288    0.031
265  0.00000 21.290    0.031
266  0.00000 21.292    0.063
267  0.00000 21.294    0.063
268  0.00000 21.297    0.063
269  0.00000 21.299    0.031
270  0.00000 21.294    0.063
271  0.00000 21.293    0.063
272  0.00000 21.298    0.063
273  0.00000 21.303    0.063
274  0.00000 21.304    0.063
275  0.00000 21.304    0.063
276  0.00000 21.300    0.031
277  0.00000 21.291    0.031
278  0.00000 21.278    0.031
279  0.00000 21.264    0.063
280  0.00000 21.252    0.063
281  0.00000 21.244    0.031
282  0.00000 21.237    0.063
283  0.00000 21.231    0.063
284  0.00000 21.220    0.031
285  0.00000 21.207    0.031
286  0.00000 21.200    0.063
287  0.00000 21.196    0.031
288  0.00000 21.192    0.031
289  0.00000 21.189    0.063
290  0.00000 21.189    0.063
291  0.00000 21.190    0.031
292  0.00000 21.191    0.063
293  0.00000 21.193    0.063
294  0.00000 21.196    0.063
295  0.00000 21.200    0.063
296  0.00000 21.202    0.063
297  0.00000 21.202    0.063
298  0.00000 21.199    0.031
299  0.00000 21.196    0.063
300  0.00000 21.193    0.063
301  0.00000 21.190    0.063
302  0.00000 21.188    0.063
303  0.00000 21.188    0.031
304  0.00000 21.190    0.063
305  0.00000 21.193    0.063
306  0.00000 21.198    0.063
307  0.00000 21.203    0.063
308  0.00000 21.207    0.063
309  0.00000 21.211    0.063
310  0.00000 21.215    0.063
311  0.00000 21.219    0.063
312  0.00000 21.223    0.063
313  0.00000 21.227    0.063
314  0.00000 21.231    0.063
315  0.00000 21.234    0.063
316  0.00000 21.236    0.063
317  0.00000 21.238    0.063
318  0.00000 21.241    0.063
319  0.00000 21.244    0.031
320  0.00000 21.247    0.063
321  0.00000 21.250    0.063
322  0.00000 21.252    0.063
323  0.00000 21.251    0.063
324  0.00000 21.248    0.031
325  0.00000 21.245    0.063
326  0.00000 21.243    0.063
327  0.00000 21.241    0.063
328  0.00000 21.238    0.063
329  0.00000 21.233    0.063
330  0.00000 21.229    0.063
331  0.00000 21.229    0.063
332  0.00000 21.232    0.063
333  0.00000 21.237    0.063
334  0.00000 21.242    0.063
335  0.00000 21.244    0.063
336  0.00000 21.242    0.031
337  0.00000 21.240    0.063
338  0.00000 21.240    0.031
339  0.00000 21.240    0.063
340  0.00000 21.241    0.063
341  0.00000 21.241    0.063
342  0.00000 21.240    0.063
343  0.00000 21.234    0.063
344  0.00000 21.226    0.063
345  0.00000 21.219    0.063
346  0.00000 21.215    0.063
347  0.00000 21.211    0.063
348  0.00000 21.207    0.063
349  0.00000 21.203    0.063
350  0.00000 21.200    0.063
351  0.00000 21.201    0.063
352  0.00000 21.205    0.063
353  0.00000 21.209    0.063
354  0.00000 21.215    0.063
355  0.00000 21.220    0.063
356  0.00000 21.225    0.063
357  0.00000 21.232    0.063
358  0.00000 21.236    0.063
359  0.00000 21.240    0.063
360  0.00000 21.242    0.063
361  0.00000 21.244    0.031
362  0.00000 21.247    0.031
363  0.00000 21.249    0.063
364  0.00000 21.250    0.063
365  0.00000 21.253    0.063
366  0.00000 21.256    0.031
367  0.00000 21.259    0.063
368  0.00000 21.263    0.063
369  0.00000 21.268    0.063
370  0.00000 21.272    0.063
371  0.00000 21.275    0.063
372  0.00000 21.277    0.063
373  0.00000 21.278    0.063
374  0.00000 21.278    0.063
375  0.00000 21.278    0.063
376  0.00000 21.279    0.063
377  0.00000 21.279    0.063
378  0.00000 21.278    0.063
379  0.00000 21.278    0.063
380  0.00000 21.278    0.031
381  0.00000 21.280    0.063
382  0.00000 21.282    0.063
383  0.00000 21.284    0.063
384  0.00000 21.286    0.063
385  0.00000 21.287    0.063
386  0.00000 21.286    0.063
387  0.00000 21.285    0.063
388  0.00000 21.279    0.063
389  0.00000 21.276    0.031
390  0.00000 21.278    0.031
391  0.00000 21.284    0.063
392  0.00000 21.289    0.031
393  0.00000 21.293    0.031
394  0.00000 21.294    0.063
395  0.00000 21.294    0.031
396  0.00000 21.292    0.031
397  0.00000 21.290    0.031
398  0.00000 21.290    0.063
399  0.00000 21.288    0.063
400  0.00000 21.280    0.063
401  0.00000 21.258    0.031
402  0.00000 21.228    0.031
403  0.00000 21.199    0.031
404  0.00000 21.179    0.031
405  0.00000 21.169    0.000
406  0.00000 21.168    0.031
407  0.00000 21.171    0.031
408  0.00000 21.165    0.031
409  0.00000 21.154    0.031
410  0.00000 21.149    0.031
411  0.00000 21.153    0.031
412  0.00000 21.159    0.031
413  0.00000 21.158    0.031
414  0.00000 21.151    0.031
415  0.00000 21.150    0.031
416  0.00000 21.154    0.063
417  0.00000 21.160    0.063
418  0.00000 21.167    0.063
419  0.00000 21.173    0.031
420  0.00000 21.177    0.031
421  0.00000 21.180    0.063
422  0.00000 21.182    0.031
423  0.00000 21.185    0.031
424  0.00000 21.188    0.031
425  0.00000 21.192    0.063
426  0.00000 21.198    0.063
427  0.00000 21.204    0.031
428  0.00000 21.209    0.063
429  0.00000 21.212    0.063
430  0.00000 21.214    0.031
431  0.00000 21.214    0.031
432  0.00000 21.213    0.031
433  0.00000 21.210    0.031
434  0.00000 21.206    0.031
435  0.00000 21.206    0.031
436  0.00000 21.208    0.031
437  0.00000 21.211    0.031
438  0.00000 21.212    0.031
439  0.00000 21.208    0.031
440  0.00000 21.201    0.031
441  0.00000 21.191    0.031
442  0.00000 21.091    0.031
443  0.00000 20.939    0.031
444  0.00000 20.745    0.031
445  0.00000 20.577    0.031
446  0.00000 20.464    0.063
447  0.00000 20.339    0.031
448  0.00000 20.096    0.063
449  0.00000 19.780    0.063
450  0.00000 19.543    0.031
451  0.00000 19.425    0.031
452  0.00000 19.365    0.031
453  0.00000 19.314    0.031
454  0.00000 19.234    0.031
455  0.00000 19.147    0.031
456  0.00000 19.097    0.031
457  0.00000 19.091    0.031
458  0.00000 19.094    0.031
459  0.00000 19.091    0.063
460  0.00000 19.082    0.063
461  0.00000 19.073    0.031
462  0.00000 19.071    0.063
463  0.00000 19.074    0.031
464  0.00000 19.081    0.031
465  0.00000 19.096    0.031
466  0.00000 19.126    0.031
467  0.00000 19.155    0.063
468  0.00000 19.177    0.063
469  0.00000 19.198    0.063
470  0.00000 19.218    0.031
471  0.00000 19.237    0.031
472  0.00000 19.255    0.031
473  0.00000 19.262    0.063
474  0.00000 19.264    0.063
475  0.00000 19.267    0.063
476  2.01542 19.231    0.063
477  4.15792 18.875    0.063
478  4.25667 18.238    0.031
479  4.30750 17.821    0.094
480  4.32708 17.675    0.188
481  4.34583 17.639    0.344
482  4.41562 17.631    0.594
483  4.43729 17.629    0.938
484  4.44583 17.628    1.125
485  4.45104 17.625    1.125
486  4.45000 17.623    1.156
487  4.44708 17.624    1.156
488  4.44729 17.610    1.250
489  4.44750 17.596    1.406
490  4.44833 17.590    1.500
491  4.44917 17.588    1.625
492  4.45125 17.589    1.750
493  4.45396 17.593    1.875
494  4.45646 17.598    2.000
495  4.45792 17.603    2.125
496  4.45812 17.606    2.250
497  4.45979 17.606    2.469
498  4.46500 17.608    2.656
499  4.48375 17.623    2.750
500  4.50104 17.671    2.875
501  4.50458 17.722    2.969
