From file: S2      	Instrument no.:	1104
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
1	1		1007.39	
Ser	Meas	Sal.	Temp	Density	S. vel.	Press	Date	Time		
1	1	0.07	22.864	-2.372	1490.88	0.00	04/11/2014	06:04:21
1	2	0.07	22.798	-2.360	1490.69	0.00	04/11/2014	06:04:22
1	3	0.07	22.797	-2.356	1490.70	0.00	04/11/2014	06:04:23
1	4	0.06	22.804	-2.365	1490.70	0.00	04/11/2014	06:04:24
1	5	0.06	22.803	-2.365	1490.70	0.00	04/11/2014	06:04:25
1	6	0.07	22.780	-2.355	1490.64	0.00	04/11/2014	06:04:26
1	7	0.07	22.770	-2.353	1490.61	0.00	04/11/2014	06:04:27
1	8	0.07	22.760	-2.351	1490.58	0.00	04/11/2014	06:04:28
1	9	0.07	22.742	-2.343	1490.54	0.00	04/11/2014	06:04:29
1	10	0.07	22.725	-2.339	1490.49	0.00	04/11/2014	06:04:30
1	11	0.07	22.715	-2.337	1490.46	0.00	04/11/2014	06:04:31
1	12	0.07	22.723	-2.342	1490.48	0.00	04/11/2014	06:04:32
1	13	0.06	22.716	-2.344	1490.46	0.00	04/11/2014	06:04:33
1	14	0.07	22.713	-2.336	1490.45	0.00	04/11/2014	06:04:34
1	15	0.07	22.706	-2.338	1490.43	0.00	04/11/2014	06:04:35
1	16	0.07	22.690	-2.331	1490.39	0.00	04/11/2014	06:04:36
1	17	0.07	22.688	-2.330	1490.39	0.00	04/11/2014	06:04:37
1	18	0.07	22.690	-2.334	1490.38	0.00	04/11/2014	06:04:38
1	19	0.06	22.689	-2.338	1490.38	0.00	04/11/2014	06:04:39
1	20	0.06	22.669	-2.333	1490.32	0.00	04/11/2014	06:04:40
1	21	0.07	22.644	-2.320	1490.26	0.00	04/11/2014	06:04:41
1	22	0.07	22.623	-2.319	1490.19	0.00	04/11/2014	06:04:42
1	23	0.07	22.614	-2.317	1490.17	0.00	04/11/2014	06:04:43
1	24	0.07	22.617	-2.314	1490.18	0.00	04/11/2014	06:04:44
1	25	0.07	22.631	-2.320	1490.22	0.00	04/11/2014	06:04:45
1	26	0.07	22.643	-2.323	1490.25	0.00	04/11/2014	06:04:46
1	27	0.07	22.645	-2.320	1490.26	0.00	04/11/2014	06:04:47
1	28	0.07	22.646	-2.320	1490.26	0.00	04/11/2014	06:04:48
1	29	0.06	22.655	-2.330	1490.28	0.00	04/11/2014	06:04:49
1	30	0.07	22.667	-2.325	1490.32	0.00	04/11/2014	06:04:50
